Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2020 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Serialization:  	Got exclusive session lock!
MTProto, 5057468842:        	Filling database cache. This can take few minutes.
MTProto, 5057468842:        	Cache filled.
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Disconnecting all before reconnect!
DataCenterConnection, 5057468842: 	Disconnecting from shared DC 
DataCenterConnection, 5057468842: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5057468842:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.167.51:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 2.0
Session, 5057468842:        	Resetting session in DC 2.0...
DataCenter, 5057468842:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.175.53:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 1.0
Session, 5057468842:        	Resetting session in DC 1.0...
DataCenter, 5057468842:     	Reconnecting to DC 2_media (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.167.151:443 main DC 2_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 2_media.0
Session, 5057468842:        	Resetting session in DC 2_media.0...
DataCenter, 5057468842:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 3.0
Session, 5057468842:        	Resetting session in DC 3.0...
DataCenter, 5057468842:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 4.0
Session, 5057468842:        	Resetting session in DC 4.0...
DataCenter, 5057468842:     	Reconnecting to DC 4_media (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.165.111:443 main DC 4_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 4_media.0
Session, 5057468842:        	Resetting session in DC 4_media.0...
DataCenter, 5057468842:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://91.108.56.177:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection, 5057468842:     	Connecting to DC 5.0
Session, 5057468842:        	Resetting session in DC 5.0...
Connection, 5057468842:     	Connected to DC 2.0!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 2
DataCenter, 5057468842:     	OK!
Connection, 5057468842:     	Connected to DC 2_media.0!
Connection, 5057468842:     	Connecting to DC 2_media.1
Session, 5057468842:        	Resetting session in DC 2_media.1...
Connection, 5057468842:     	Connected to DC 4.0!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 4
DataCenter, 5057468842:     	OK!
Connection, 5057468842:     	Connected to DC 4_media.0!
Connection, 5057468842:     	Connecting to DC 4_media.1
Session, 5057468842:        	Resetting session in DC 4_media.1...
Connection, 5057468842:     	Connected to DC 2_media.1!
Connection, 5057468842:     	Connecting to DC 2_media.2
Session, 5057468842:        	Resetting session in DC 2_media.2...
Connection, 5057468842:     	Connected to DC 4_media.1!
Connection, 5057468842:     	Connecting to DC 4_media.2
Session, 5057468842:        	Resetting session in DC 4_media.2...
Connection, 5057468842:     	Connected to DC 2_media.2!
Connection, 5057468842:     	Connecting to DC 2_media.3
Session, 5057468842:        	Resetting session in DC 2_media.3...
Connection, 5057468842:     	Connected to DC 4_media.2!
Connection, 5057468842:     	Connecting to DC 4_media.3
Session, 5057468842:        	Resetting session in DC 4_media.3...
Connection, 5057468842:     	Connected to DC 2_media.3!
Connection, 5057468842:     	Connecting to DC 2_media.4
Session, 5057468842:        	Resetting session in DC 2_media.4...
Connection, 5057468842:     	Connected to DC 4_media.3!
Connection, 5057468842:     	Connecting to DC 4_media.4
Session, 5057468842:        	Resetting session in DC 4_media.4...
Connection, 5057468842:     	Connected to DC 2_media.4!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 2_media
DataCenter, 5057468842:     	OK!
Connection, 5057468842:     	Connected to DC 4_media.4!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 4_media
DataCenter, 5057468842:     	OK!
Connection, 5057468842:     	Connected to DC 1.0!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 1
DataCenter, 5057468842:     	OK!
Connection, 5057468842:     	Connected to DC 3.0!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 3
DataCenter, 5057468842:     	OK!
Connection, 5057468842:     	Connected to DC 5.0!
DataCenterConnection, 5057468842: 	Restoring 0 messages to DC 5
DataCenter, 5057468842:     	OK!
MTProto, 5057468842:        	Initing authorization...
MTProto, 5057468842:        	Initing authorization DC 2...
MTProto, 5057468842:        	Done initing authorization DC 2
MTProto, 5057468842:        	Initing authorization DC 1...
MTProto, 5057468842:        	Done initing authorization DC 1
MTProto, 5057468842:        	Initing authorization DC 3...
MTProto, 5057468842:        	Done initing authorization DC 3
MTProto, 5057468842:        	Initing authorization DC 4...
MTProto, 5057468842:        	Done initing authorization DC 4
MTProto, 5057468842:        	Initing authorization DC 5...
MTProto, 5057468842:        	Done initing authorization DC 5
MTProto, 5057468842:        	Initing authorization DC 2_media...
MTProto, 5057468842:        	Done initing authorization DC 2_media
MTProto, 5057468842:        	Initing authorization DC 4_media...
MTProto, 5057468842:        	Done initing authorization DC 4_media
DataCenter, 5057468842:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.167.51:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
DataCenter, 5057468842:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.175.53:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
DataCenter, 5057468842:     	Reconnecting to DC 2_media (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.167.151:443 main DC 2_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
DataCenter, 5057468842:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
DataCenter, 5057468842:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
DataCenter, 5057468842:     	Reconnecting to DC 4_media (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://149.154.165.111:443 main DC 4_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
DataCenter, 5057468842:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection, 5057468842: 	Trying shared connection via tcp://91.108.56.177:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection, 5057468842: 	Already connected!
DataCenter, 5057468842:     	OK!
MTProto, 5057468842:        	Initing authorization...
MTProto, 5057468842:        	Initing authorization DC 2...
MTProto, 5057468842:        	Done initing authorization DC 2
MTProto, 5057468842:        	Initing authorization DC 1...
MTProto, 5057468842:        	Done initing authorization DC 1
MTProto, 5057468842:        	Initing authorization DC 3...
MTProto, 5057468842:        	Done initing authorization DC 3
MTProto, 5057468842:        	Initing authorization DC 4...
MTProto, 5057468842:        	Done initing authorization DC 4
MTProto, 5057468842:        	Initing authorization DC 5...
MTProto, 5057468842:        	Done initing authorization DC 5
MTProto, 5057468842:        	Initing authorization DC 2_media...
MTProto, 5057468842:        	Done initing authorization DC 2_media
MTProto, 5057468842:        	Initing authorization DC 4_media...
MTProto, 5057468842:        	Done initing authorization DC 4_media
MsgIdHandler64, 5057468842: 	Given message id (7055851341387106305) is bigger than or equal to the current limit (7055851341387088897). Please sync your date using NTP.
TOS, 5057468842:            	Fetching TOS...
MsgIdHandler64, 5057468842: 	Given message id (7055851341797341185) is bigger than or equal to the current limit (7055851341797324801). Please sync your date using NTP.
MTProto, 5057468842:        	Initing authorization...
MTProto, 5057468842:        	Initing authorization DC 2...
MTProto, 5057468842:        	Done initing authorization DC 2
MTProto, 5057468842:        	Initing authorization DC 1...
MTProto, 5057468842:        	Done initing authorization DC 1
MTProto, 5057468842:        	Initing authorization DC 3...
MTProto, 5057468842:        	Done initing authorization DC 3
MTProto, 5057468842:        	Initing authorization DC 4...
MTProto, 5057468842:        	Done initing authorization DC 4
MTProto, 5057468842:        	Initing authorization DC 5...
MTProto, 5057468842:        	Done initing authorization DC 5
MTProto, 5057468842:        	Initing authorization DC 2_media...
MTProto, 5057468842:        	Done initing authorization DC 2_media
MTProto, 5057468842:        	Initing authorization DC 4_media...
MTProto, 5057468842:        	Done initing authorization DC 4_media
MTProto, 5057468842:        	Starting update system
MTProto, 5057468842:        	Getting updates after deserialization...
MsgIdHandler64, 5057468842: 	Given message id (7055851342105847809) is bigger than or equal to the current limit (7055851342105841665). Please sync your date using NTP.
MsgIdHandler64, 5057468842: 	Given message id (7055851342490187777) is bigger than or equal to the current limit (7055851342490172417). Please sync your date using NTP.
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, 5057468842:       	Getdiff fed me message of type message in update feed loop generic...
